company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
01624292,UNITED PETFOOD UK LIMITED,SA19 9LY,UNIT 1 TYWI VALLEY FOOD PARK / STATION ROAD / LLANGADOG,10920 - Manufacture of prepared pet foods,FULL,24/03/1982,large
00856633,PRINCESS YACHTS LIMITED,PL1 3QG,NEWPORT STREET / STONEHOUSE / PLYMOUTH,30120 - Building of pleasure and sporting boats,FULL,12/08/1965,large
00116784,ST.EDWARD'S SCHOOL,OX2 7NN,ST EDWARDS SCHOOL / WOODSTOCK ROAD / OXFORD,85310 - General secondary education,GROUP,12/07/1911,large
08339522,REACH PUBLISHING SERVICES LIMITED,E14 5AP,ONE CANADA SQUARE / CANARY WHARF / LONDON,74990 - Non-trading company,FULL,21/12/2012,large
06303124,GOODMAN OPERATOR (UK) LIMITED,W1B 5LU,6 WARWICK STREET / LONDON,66220 - Activities of insurance agents and brokers,FULL,05/07/2007,large
00980109,SEASCOPE INSURANCE SERVICES LIMITED,E1 8AN,57 MANSELL STREET / LONDON,65120 - Non-life insurance,FULL,20/05/1970,large
FC011210,PALAIRET CONSULTANTS LIMITED,WC2N 5AP,DAVID D PALAIRET / 16A NORTHUMBERLAND AVENUE / LONDON,None Supplied,FULL,08/01/1982,large
01282361,GUIDEPOSTS TRUST LIMITED,OX28 4BH,UNIT E TWO RIVERS INDUSTRIAL ESTATE / STATION LANE / WITNEY,63990 - Other information service activities n.e.c.,FULL,19/10/1976,large
05100341,ALL CARE (GB) LIMITED,W6 8PW,245 HAMMERSMITH ROAD / LONDON,88100 - Social work activities without accommodation for the elderly and disabled,FULL,13/04/2004,large
03278604,MJF UK HOLDINGS LIMITED,EC1V 7DH,112-114 GOSWELL ROAD / LONDON,70100 - Activities of head offices,GROUP,15/11/1996,large
09197113,TRAVEL UP GROUP PLC,RG7 8HN,UNIT 1 ZODIAC HOUSE CALLEVA PARK / ALDERMASTON / READING,64209 - Activities of other holding companies n.e.c.,GROUP,31/08/2014,large
05287815,POPLAR HARCA (DEVELOPMENTS) LIMITED,E14 6DA,GEORGE GREEN BUILDING / 155 EAST INDIA DOCK ROAD / LONDON,41100 - Development of building projects,FULL,16/11/2004,large
07719049,COMMUNITY 1ST SHEFFIELD (TRANCHE 2) LIMITED,SK4 2HG,BUILDING 1000 KINGS REACH / YEW STREET / STOCKPORT,68209 - Other letting and operating of own or leased real estate,FULL,26/07/2011,large
13708080,"SCENTSY GB, PTY LTD",B4 6WR,11TH FLOOR / TWO SNOWHILL / BIRMINGHAM,47910 - Retail sale via mail order houses or via Internet,FULL,27/10/2021,large
07764918,STEMCOR LONDON LIMITED,EC1Y 4TW,LONGBOW HOUSE / 14-20 CHISWELL STREET / LONDON,46720 - Wholesale of metals and metal ores,FULL,07/09/2011,large
07771037,THE CRUSADERS' UNION,PO33 1PU,URBAN SAINTS WESTBROOK CENTRE / OAKHILL ROAD / RYDE,94910 - Activities of religious organizations,FULL,12/09/2011,large
